convergence of the BAO peak position:
    kmax         dk   damping  r_peak [Mpc/h]  r^2 xi peak
     1.0    2.0e-04      None          103.77      23.5599
     2.0    2.0e-04      None          105.26      20.8846
     5.0    2.0e-04      None          106.18      19.4032
    10.0    2.0e-04      None          105.87      19.0870
    20.0    2.0e-04      None          105.71      18.9739
    10.0    1.0e-04       3.0          105.73      18.8971
    10.0    5.0e-04       3.0          105.73      18.8971
    10.0    2.0e-04       1.0          105.69      18.6781
    10.0    2.0e-04       3.0          105.73      18.8971
    20.0    2.0e-04       3.0          105.73      18.8971

BAO peak at r = 105.73 Mpc/h  (r^2 xi = 18.897 (Mpc/h)^2)
